App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
NFL,SPORTS,4.1,459795,Varies with device,"50,000,000+",Free,0,Everyone,Sports,"August 2, 2018",Varies with device,Varies with device
eu sou franky,BUSINESS,3.7,195,4.0M,"10,000+",Free,0,Everyone,Business,"November 21, 2016",1.0.1,4.0 and up
GLASS GO Launcher EX Theme,PERSONALIZATION,4.2,18280,6.0M,"1,000,000+",Free,0,Everyone,Personalization,"January 8, 2015",1.28,1.6 and up
Apex Launcher,PERSONALIZATION,4.3,266401,Varies with device,"10,000,000+",Free,0,Everyone,Personalization,"August 4, 2018",Varies with device,Varies with device
Just She - Top Lesbian Dating,DATING,1.9,953,19M,"100,000+",Free,0,Mature 17+,Dating,"July 18, 2018",6.3.7,5.0 and up
Little Caesars,FOOD_AND_DRINK,3.3,1726,30M,"500,000+",Free,0,Everyone,Food & Drink,"July 19, 2018",4.26,4.4 and up
Hypocam,PHOTOGRAPHY,4.5,12572,8.5M,"1,000,000+",Free,0,Everyone,Photography,"March 14, 2018",1.31,4.0 and up
Holy Quran Mehmet Emin Ay,LIFESTYLE,,649,55M,"10,000+",Free,0,Everyone,Lifestyle,"March 14, 2017",1.3.1,4.0.3 and up
FL House,PRODUCTIVITY,4.4,29,Varies with device,"1,000+",Free,0,Everyone,Productivity,"November 22, 2016",1.6.7,Varies with device
Radio BN,FAMILY,,53,4.2M,"5,000+",Free,0,Everyone,Entertainment,"January 12, 2018",1.0.3,4.4 and up
Little Pets Animal Guardians,FAMILY,4.6,18893,91M,"100,000+",Free,0,Everyone,Casual;Pretend Play,"June 9, 2018",1.4.1,4.0.3 and up
Saiyan Z: Super SSJ Ultimate Combat,GAME,4.4,306,61M,"10,000+",Free,0,Everyone,Adventure,"April 18, 2018",2.0.2,4.0 and up
Santa Fe Thrive,HEALTH_AND_FITNESS,5.0,2,8.3M,50+,Free,0,Everyone,Health & Fitness,"July 9, 2018",4.2.2,4.1 and up
Howlr,DATING,3.9,105,27M,"5,000+",Free,0,Mature 17+,Dating,"June 19, 2018",1.0.4,4.4 and up
Casual Dating & Adult Singles - Joyride,DATING,4.5,61637,11M,"5,000,000+",Free,0,Mature 17+,Dating,"July 31, 2018",4.17.2,4.1 and up
"Starg - Gay, Same Sex, Bi",DATING,3.7,66,7.3M,"10,000+",Free,0,Mature 17+,Dating,"November 29, 2016",1.0.6,4.1 and up
edp re:dy,TOOLS,3.0,172,Varies with device,"10,000+",Free,0,Everyone,Tools,"June 20, 2018",Varies with device,Varies with device
Flame - درب عقلك يوميا,EDUCATION,4.6,56065,37M,"1,000,000+",Free,0,Everyone,Education,"July 26, 2018",3.3,4.1 and up
AC remote control mobile,TOOLS,3.9,3043,7.7M,"100,000+",Free,0,Everyone,Tools,"June 2, 2017",1.3 acremotecontrol,4.0.3 and up
"Super P Launcher for Android P 9.0 launcher, theme",TOOLS,4.4,2026,7.5M,"100,000+",Free,0,Everyone,Tools,"August 3, 2018",1.9,4.0 and up
"Ike - To-Do List, Task List",PRODUCTIVITY,4.6,6320,6.3M,"100,000+",Free,0,Everyone,Productivity,"December 10, 2016",2.0,4.4 and up
Portable Wi-Fi hotspot,COMMUNICATION,3.9,138129,2.1M,"10,000,000+",Free,0,Everyone,Communication,"May 6, 2018",1.5.2.4-23,2.3 and up
autolina.ch has over 120'000 cars on offer.,AUTO_AND_VEHICLES,4.2,25,6.5M,"10,000+",Free,0,Everyone,Auto & Vehicles,"August 2, 2017",1.02,4.2 and up
Fr Daoud Lamei,SOCIAL,4.7,2036,6.8M,"100,000+",Free,0,Everyone,Social,"May 20, 2018",1.72,4.0.3 and up
Toughest Game Ever 2,GAME,4.6,293086,Varies with device,"5,000,000+",Free,0,Everyone,Action,"October 22, 2015",8.1,4.0.3 and up
Archery Physics Objects Destruction Apple shooter,GAME,4.5,6026,39M,"100,000+",Free,0,Teen,Action,"July 7, 2018",1.04,4.1 and up
Pic Collage - Photo Editor,PHOTOGRAPHY,4.6,1451000,Varies with device,"50,000,000+",Free,0,Everyone,Photography,"July 19, 2018",Varies with device,Varies with device
Updates for Samsung - Android Update Versions,NEWS_AND_MAGAZINES,4.0,80368,Varies with device,"10,000,000+",Free,0,Everyone,News & Magazines,"May 17, 2018",Varies with device,Varies with device
YouTube TV - Watch & Record Live TV,FAMILY,4.4,38517,17M,"1,000,000+",Free,0,Teen,Entertainment,"August 2, 2018",2.29.2,5.0 and up
"Bleacher Report: sports news, scores, & highlights",SPORTS,4.4,122282,Varies with device,"5,000,000+",Free,0,Everyone 10+,Sports,"July 20, 2018",Varies with device,Varies with device
DS Flashlight,TOOLS,4.0,127,5.8M,"10,000+",Free,0,Everyone,Tools,"May 30, 2015",1.31,2.2 and up
"Tapas – Comics, Novels, and Stories",COMICS,4.5,29839,29M,"1,000,000+",Free,0,Teen,Comics,"July 31, 2018",4.1.0,4.4 and up
"IndiaMART: Search Products, Buy, Sell & Trade",BUSINESS,4.5,207372,11M,"5,000,000+",Free,0,Everyone,Business,"August 2, 2018",12.2.4,4.0 and up
AJ-COMICS,FOOD_AND_DRINK,,0,27M,5+,Free,0,Everyone,Food & Drink,"July 13, 2018",0.1.0,4.4 and up
Camera51 - a smarter camera,PHOTOGRAPHY,4.0,29707,18M,"1,000,000+",Free,0,Everyone,Photography,"February 10, 2015",1.1.6,4.0 and up
MyScript Calculator,TOOLS,4.5,342336,Varies with device,"10,000,000+",Free,0,Everyone,Tools;Education,"August 10, 2015",Varies with device,Varies with device
Golf Channel,SPORTS,4.1,19230,88M,"1,000,000+",Free,0,Everyone,Sports,"May 30, 2018",4.5.19.56,4.1 and up
Amtrak,TRAVEL_AND_LOCAL,3.7,16815,28M,"1,000,000+",Free,0,Everyone,Travel & Local,"July 15, 2018",3.1.3,5.0 and up
ClanPlay: Community and Tools for Gamers,COMMUNICATION,4.8,34443,27M,"1,000,000+",Free,0,Teen,Communication,"June 28, 2018",1.14.3,5.0 and up
"Cymera Camera- Photo Editor, Filter,Collage,Layout",PHOTOGRAPHY,4.4,2418135,Varies with device,"100,000,000+",Free,0,Everyone,Photography,"July 12, 2018",Varies with device,Varies with device
EW Widgets for Zooper,TOOLS,3.4,5,1.9M,100+,Free,0,Everyone,Tools,"December 3, 2016",1.0.2,4.0.3 and up
Panera Bread,FOOD_AND_DRINK,4.2,10225,36M,"1,000,000+",Free,0,Everyone,Food & Drink,"August 6, 2018",4.4.2,5.0 and up
Dulquer Salmaan HD Wallpapers,PERSONALIZATION,,1,3.9M,100+,Free,0,Everyone,Personalization,"May 22, 2018",1.1.0,4.0 and up
FotMob - Live Soccer Scores,SPORTS,4.7,410384,Varies with device,"10,000,000+",Free,0,Everyone,Sports,"July 31, 2018",Varies with device,Varies with device
Papumba Academy - Fun Learning For Kids,FAMILY,4.4,496,94M,"100,000+",Free,0,Everyone,Education;Education,"July 11, 2018",1.0,4.2 and up
Thomas & Friends: Race On!,FAMILY,4.1,29319,26M,"5,000,000+",Free,0,Everyone,Casual;Action & Adventure,"May 18, 2018",2.4,4.4 and up
CV (Curriculum Vitae / Resume) Maker,BUSINESS,,4,4.4M,"5,000+",Free,0,Everyone,Business,"December 27, 2017",1.1,4.0.3 and up
Apartments & Rentals - Zillow,HOUSE_AND_HOME,4.2,27387,Varies with device,"1,000,000+",Free,0,Everyone,House & Home,"June 21, 2018",Varies with device,Varies with device
"muzmatch: Muslim & Arab Singles, Marriage & Dating",DATING,3.8,5168,25M,"100,000+",Free,0,Mature 17+,Dating,"July 24, 2018",3.8.75a,4.0.3 and up
DRAGON QUEST II,FAMILY,4.5,2576,44M,"10,000+",Paid,$4.99,Everyone,Role Playing,"March 9, 2018",1.0.5,4.0 and up
Baldur's Gate: Enhanced Edition,FAMILY,4.5,20101,7.8M,"100,000+",Paid,$9.99,Teen,Role Playing,"October 2, 2015",1.3,3.0 and up
Burger King Foot Lettuce,FAMILY,4.4,150,5.9M,"10,000+",Free,0,Everyone,Entertainment,"June 11, 2018",1.07,4.0 and up
SAY-U,FAMILY,3.2,1011,Varies with device,"100,000+",Free,0,Teen,Entertainment,"July 13, 2018",Varies with device,4.1 and up
Elif Ba - Learn The Holy Quran,FAMILY,4.8,1491,38M,"50,000+",Free,0,Everyone,Education,"October 31, 2017",1.3,4.1 and up
Barcelona Calendar,SPORTS,4.4,670,3.1M,"10,000+",Free,0,Everyone,Sports,"November 17, 2017",2.2,4.0.3 and up
Weather Radar Widget,WEATHER,4.3,18194,3.2M,"1,000,000+",Free,0,Everyone,Weather,"June 28, 2017",1.7.7,3.0 and up
White Noise ~ Sleeping Sounds,LIFESTYLE,4.5,4427,Varies with device,"100,000+",Free,0,Everyone,Lifestyle,"June 23, 2017",Varies with device,Varies with device
AZ Screen Recorder - No Root,VIDEO_PLAYERS,4.6,751911,Varies with device,"10,000,000+",Free,0,Everyone,Video Players & Editors,"August 2, 2018",Varies with device,5.0 and up
Ulta Beauty,BEAUTY,4.7,42050,Varies with device,"1,000,000+",Free,0,Everyone,Beauty,"June 5, 2018",5.4,5.0 and up
EK Carevec,FAMILY,,1,29M,10+,Free,0,Teen,Entertainment,"July 17, 2018",2.177.5489,4.3 and up
Free TV series,VIDEO_PLAYERS,3.7,400,7.2M,"100,000+",Free,0,Teen,Video Players & Editors,"May 28, 2018",v1.0.3,4.0.3 and up
Turbo FAST,FAMILY,4.3,1329192,97M,"50,000,000+",Free,0,Everyone,Racing;Action & Adventure,"October 4, 2017",2.1.20,2.3.3 and up
FQ - Football Quiz,SPORTS,,1,9.0M,1+,Free,0,Everyone,Sports,"May 29, 2018",1.0,5.0 and up
NB|AZ Business Mobile Banking,FINANCE,4.1,44,13M,"1,000+",Free,0,Everyone,Finance,"April 5, 2018",4.2.31,4.2 and up
Miraculous Ladybug & Cat Noir - The Official Game,GAME,4.5,183846,99M,"10,000,000+",Free,0,Everyone,Action,"July 30, 2018",1.0.6,4.4 and up
Grab Driver,MAPS_AND_NAVIGATION,4.2,301413,48M,"5,000,000+",Free,0,Everyone,Maps & Navigation,"August 1, 2018",5.44.1,4.1 and up
Koch Morse Trainer Pro,COMMUNICATION,4.6,94,1.1M,"1,000+",Paid,$2.49,Everyone,Communication,"February 14, 2015",2.1.1,2.2 and up
BP Assist,TOOLS,,0,9.4M,100+,Free,0,Everyone,Tools,"July 3, 2018",4.4.14.4487,4.0.3 and up
21-Day Meditation Experience,HEALTH_AND_FITNESS,4.4,11506,15M,"100,000+",Free,0,Everyone,Health & Fitness,"August 2, 2018",3.0.0,4.1 and up
Smart Launcher 5,PERSONALIZATION,4.4,512106,Varies with device,"10,000,000+",Free,0,Everyone,Personalization,"July 16, 2018",Varies with device,Varies with device
MIX by Camera360,PHOTOGRAPHY,4.4,111066,74M,"5,000,000+",Free,0,Everyone,Photography,"August 3, 2018",4.8.7,4.0.3 and up
Farming Simulator 18,GAME,4.5,18125,15M,"100,000+",Paid,$4.99,Everyone,Simulation;Education,"July 9, 2018",Varies with device,4.4 and up
Rossmann PL,SHOPPING,4.0,15867,Varies with device,"5,000,000+",Free,0,Everyone,Shopping,"August 6, 2018",Varies with device,4.0.3 and up
I am rich,LIFESTYLE,3.8,3547,1.8M,"100,000+",Paid,$399.99,Everyone,Lifestyle,"January 12, 2018",2.0,4.0.3 and up
Dreamland Arcade - Steven Universe,GAME,4.0,6386,24M,"500,000+",Free,0,Everyone,Arcade,"November 19, 2017",0.99,5.1 and up
Black Survival,FAMILY,4.4,48451,52M,"1,000,000+",Free,0,Teen,Strategy,"August 1, 2018",4.6.00,4.0.3 and up
EC-HRV test,SPORTS,3.0,9,4.3M,"1,000+",Free,0,Everyone,Sports,"July 26, 2018",3.9.13,4.4 and up
Pain Tracker & Diary,MEDICAL,4.3,3,4.6M,100+,Paid,$2.99,Everyone,Medical,"January 2, 2018",1.50,4.1 and up
Ultimate Chest Tracker,PRODUCTIVITY,4.5,40328,23M,"1,000,000+",Free,0,Everyone,Productivity,"October 17, 2016",1.9,2.3 and up
TouchPal Keyboard for vivo,TOOLS,4.3,357,58M,"1,000,000+",Free,0,Everyone,Tools,"May 30, 2018",6.2.6.7,4.0.3 and up
CU of Colorado Mobile Banking,FINANCE,4.0,347,25M,"10,000+",Free,0,Everyone,Finance,"February 6, 2018",4.11.100,4.1 and up
AND CO,FINANCE,4.5,175,12M,"10,000+",Free,0,Everyone,Finance,"August 3, 2018",2.2.0,5.0 and up
U.S. Bank,FINANCE,4.1,70782,50M,"1,000,000+",Free,0,Everyone,Finance,"July 25, 2018",2.34.29,4.0.3 and up
BD Simplist Through Their Eyes,FAMILY,,1,38M,10+,Free,0,Everyone,Simulation,"December 4, 2015",1.0,4.1 and up
IHG®: Hotel Deals & Rewards,TRAVEL_AND_LOCAL,4.3,18622,44M,"1,000,000+",Free,0,Everyone,Travel & Local,"August 3, 2018",4.15.1,4.4 and up
"Emoji keyboard - Cute Emoticons, GIF, Stickers",TOOLS,4.4,1107320,25M,"50,000,000+",Free,0,Everyone,Tools,"August 7, 2018",3.4.500,4.1 and up
A-Z Screen Recorder -,VIDEO_PLAYERS,,17,3.7M,500+,Free,0,Everyone,Video Players & Editors,"July 23, 2018",1.0,4.4 and up
Camera MX - Free Photo & Video Camera,PHOTOGRAPHY,4.3,244302,Varies with device,"10,000,000+",Free,0,Everyone,Photography,"July 5, 2018",Varies with device,Varies with device
8 Ball Pool,GAME,4.5,14200550,52M,"100,000,000+",Free,0,Everyone,Sports,"July 31, 2018",4.0.0,4.0.3 and up
Freecell CY,GAME,4.0,387,1.1M,"50,000+",Free,0,Everyone,Card,"April 16, 2011",1.3.3,1.6 and up
Fairy Kingdom: World of Magic and Farming,FAMILY,4.4,129542,63M,"1,000,000+",Free,0,Everyone,Strategy;Creativity,"July 23, 2018",2.4.9,4.0.3 and up
OkCupid Dating,DATING,4.1,285726,15M,"10,000,000+",Free,0,Mature 17+,Dating,"July 30, 2018",11.10.1,4.1 and up
Christella VoiceUp,MEDICAL,4.1,38,70M,"5,000+",Free,0,Everyone,Medical,"July 12, 2018",2.1.4,4.1 and up
Hambo,GAME,4.4,125578,17M,"5,000,000+",Free,0,Everyone,Action,"July 6, 2015",1.1.8,2.1 and up
slither.io,GAME,4.4,5235294,Varies with device,"100,000,000+",Free,0,Everyone,Action,"November 14, 2017",Varies with device,2.3 and up
Houzz Interior Design Ideas,HOUSE_AND_HOME,4.6,353813,Varies with device,"10,000,000+",Free,0,Everyone,House & Home,"August 1, 2018",Varies with device,Varies with device
My EU,FAMILY,3.8,4,13M,100+,Free,0,Everyone,Education,"May 15, 2017",3.2.1,4.1 and up
Euro Truck Driver (Simulator),FAMILY,4.4,860078,30M,"10,000,000+",Free,0,Everyone,Simulation,"February 15, 2018",1.6.0,4.1 and up
Esporte Interativo - Notícias e Resultados Ao Vivo,SPORTS,4.4,4600,21M,"500,000+",Free,0,Everyone,Sports,"January 14, 2018",6.2.6,4.1 and up
Smart AppLock (App Protect),TOOLS,4.4,137562,Varies with device,"10,000,000+",Free,0,Everyone,Tools,"May 31, 2018",Varies with device,Varies with device
FK Bregalnica Štip,SPORTS,,0,26M,1+,Free,0,Everyone,Sports,"February 24, 2018",1.0,4.1 and up
BV Bombers,SPORTS,,0,12M,100+,Free,0,Everyone,Sports,"January 31, 2017",7.1.5,4.0 and up
Mod GTA V for MCPE,FAMILY,3.3,4288,10M,"500,000+",Free,0,Everyone,Entertainment,"April 23, 2018",1.2.3.4.5,4.0.3 and up
Whoscall - Caller ID & Block,COMMUNICATION,4.4,552635,29M,"10,000,000+",Free,0,Everyone,Communication,"August 1, 2018",6.19.1,4.1 and up
RULES OF SURVIVAL,GAME,4.2,1343106,56M,"10,000,000+",Free,0,Teen,Action,"August 1, 2018",1.180271.184729,4.0 and up
Google Calendar,PRODUCTIVITY,4.2,858227,Varies with device,"500,000,000+",Free,0,Everyone,Productivity,"August 6, 2018",Varies with device,Varies with device
Epson iPrint,TOOLS,4.1,108169,Varies with device,"10,000,000+",Free,0,Everyone,Tools,"June 25, 2018",Varies with device,Varies with device
Shoot M-16 vs AK-47 : realistic weapon simulator,FAMILY,3.0,2,33M,100+,Free,0,Everyone,Simulation,"July 18, 2018",1.0,4.1 and up
Punjab Online - Land Records • EB Bill Pay • RC/DL,TOOLS,3.4,16,4.0M,"5,000+",Free,0,Everyone,Tools,"August 7, 2018",1.0,5.0 and up
Rainbow - Journal & Activities,PARENTING,4.8,6668,20M,"100,000+",Free,0,Everyone,Parenting,"March 28, 2018",2.5.9,4.1 and up
Official NBSTSA CSFA Exam Prep,MEDICAL,4.4,137,11M,"1,000+",Free,0,Everyone,Medical,"May 17, 2018",4.5.1,4.4 and up
Q-slope,TOOLS,4.5,2,3.9M,50+,Paid,$1.76,Everyone,Tools,"December 3, 2017",5.0,4.3 and up
"Pretty Makeup, Beauty Photo Editor & Snappy Camera",PHOTOGRAPHY,4.5,26361,29M,"5,000,000+",Free,0,Everyone,Photography,"July 25, 2018",5.3,4.1 and up
Football Manager Mobile 2018,SPORTS,3.9,11460,Varies with device,"100,000+",Paid,$8.99,Everyone,Sports,"June 27, 2018",Varies with device,4.1 and up
Do Not Crash,FAMILY,3.7,56664,8.3M,"1,000,000+",Free,0,Everyone,Casual,"February 5, 2015",1.4,2.3 and up
EC MANAGER,VIDEO_PLAYERS,,2,17M,100+,Free,0,Everyone,Video Players & Editors,"June 13, 2018",8.3.13.6,4.1 and up
HTC Sense Input-CA,TOOLS,3.1,124,1.9M,"100,000+",Free,0,Everyone,Tools,"April 22, 2014",9.7.753080,4.1 and up
SW-DB,TOOLS,4.5,954,7.6M,"10,000+",Free,0,Teen,Tools,"July 11, 2016",0.4.1,4.1 and up
Retro City Rampage DX,GAME,4.7,416,16M,"10,000+",Paid,$2.99,Teen,Action,"January 12, 2017",1.0.5,4.0 and up
EF Events,EVENTS,5.0,7,4.4M,100+,Free,0,Teen,Events,"October 5, 2017",Varies with device,Varies with device
Aldiko Book Reader,BOOKS_AND_REFERENCE,4.2,210534,22M,"10,000,000+",Free,0,Everyone,Books & Reference,"June 13, 2018",3.0.58,4.0 and up
T-Mobile® FamilyMode™,PARENTING,3.1,103,28M,"10,000+",Free,0,Everyone,Parenting,"June 29, 2018",1.0.2-alpha4,4.4 and up
Anthem BC Anywhere,MEDICAL,2.6,496,24M,"100,000+",Free,0,Everyone,Medical,"July 27, 2018",8.0.226,4.4 and up
SuperVPN Free VPN Client,TOOLS,4.3,576454,6.1M,"50,000,000+",Free,0,Everyone,Tools,"February 5, 2018",2.0.9,4.0.3 and up
"FOX Sports: Live Streaming, Scores & News",SPORTS,4.0,28895,82M,"5,000,000+",Free,0,Teen,Sports,"August 2, 2018",4.4.15,5.0 and up
Uber Eats: Local Food Delivery,FOOD_AND_DRINK,4.2,333208,34M,"10,000,000+",Free,0,Everyone,Food & Drink,"August 1, 2018",1.161.10002,5.0 and up
¡Ay Metro!,GAME,3.8,489,36M,"10,000+",Free,0,Everyone 10+,Arcade,"March 17, 2015",1.0.3.1,4.0 and up
Barcelona Live - Goal Score & News for Barca Fans,SPORTS,4.4,38,2.6M,"10,000+",Free,0,Everyone,Sports,"August 17, 2017",1.0,4.0 and up
BSc Ag Entrance Preparation,FAMILY,4.4,138,6.2M,"10,000+",Free,0,Everyone,Education,"May 31, 2018",3.7,4.1 and up
Your rank CS:GO,GAME,4.1,4946,7.5M,"100,000+",Free,0,Teen,Trivia,"July 16, 2017",1.82,4.0.3 and up
Vote for,VIDEO_PLAYERS,4.2,193381,17M,"50,000,000+",Free,0,Teen,Video Players & Editors,"August 3, 2018",1.78,4.0.3 and up
My Little Pony Celebration,FAMILY,4.3,63192,17M,"1,000,000+",Free,0,Everyone,Simulation;Pretend Play,"July 22, 2016",1.0.0,2.3 and up
EMI Calculator | FD Calculator | RD calculator,FINANCE,4.6,106,4.4M,"10,000+",Free,0,Everyone,Finance,"March 19, 2018",5.3,4.0.3 and up
Weather Forecast Pro,WEATHER,4.7,14051,8.7M,"100,000+",Paid,$3.99,Everyone,Weather,"August 4, 2018",8.5,4.0 and up
Go-Go-Goat! Free Game,FAMILY,4.5,66740,23M,"1,000,000+",Free,0,Everyone,Arcade;Action & Adventure,"July 8, 2016",2.4.4,2.3 and up
AY Sing,BOOKS_AND_REFERENCE,4.8,111,10M,"5,000+",Free,0,Everyone,Books & Reference,"May 21, 2018",1.6.2,4.1 and up
I Love U Theme&Emoji Keyboard,PERSONALIZATION,4.6,655,3.5M,"100,000+",Free,0,Everyone,Personalization,"May 8, 2018",4.3,4.1 and up
My Talking Tom,GAME,4.5,14891223,Varies with device,"500,000,000+",Free,0,Everyone,Casual,"July 19, 2018",4.8.0.132,4.1 and up
DroidAdmin for Android - Advice,EVENTS,4.2,811,2.8M,"10,000+",Free,0,Everyone,Events,"May 29, 2018",3.8,4.0 and up
FO STELIA Méaulte,COMMUNICATION,,2,18M,100+,Free,0,Everyone,Communication,"December 19, 2017",1.1,4.1 and up
Brilliant Distinctions®,MEDICAL,2.8,78,72M,"50,000+",Free,0,Everyone,Medical,"June 27, 2018",2.2.12,4.4 and up
Real Racing 3,FAMILY,4.5,354454,71M,"10,000,000+",Free,0,Everyone,Racing;Action & Adventure,"July 2, 2018",6.4.0,4.1 and up
BS Meter (Ad Supported),FAMILY,3.9,14,592k,"1,000+",Free,0,Teen,Entertainment,"August 14, 2013",2.0,2.2 and up
chomp SMS,COMMUNICATION,4.3,335646,8.3M,"10,000,000+",Free,0,Everyone,Communication,"July 26, 2018",7.21,2.3 and up
News Dz,SOCIAL,,3,9.9M,10+,Free,0,Everyone,Social,"July 19, 2017",1.0,4.0 and up
Hotstar,ENTERTAINMENT,4.3,4885646,Varies with device,"100,000,000+",Free,0,Teen,Entertainment,"August 3, 2018",Varies with device,Varies with device
"Ew, the small alien",GAME,,5,Varies with device,10+,Free,0,Everyone,Adventure,"January 21, 2017",Varies with device,2.3 and up
Power Rangers: Legacy Wars,GAME,4.3,264755,91M,"10,000,000+",Free,0,Teen,Action,"July 17, 2018",2.2.1,4.0 and up
Alachua County Sheriff FL,LIFESTYLE,3.2,5,9.5M,100+,Free,0,Everyone,Lifestyle,"May 13, 2015",1.0,4.0 and up
Crazy Wheels,GAME,4.0,121082,7.0M,"10,000,000+",Free,0,Teen,Adventure,"January 17, 2018",1.0.7,2.1 and up
Best Blood Type AB: Food Diet & Personality,LIFESTYLE,,3,37M,"1,000+",Free,0,Everyone,Lifestyle,"July 11, 2018",1.2,4.0.3 and up
Waterfall Live Wallpaper,PERSONALIZATION,4.1,112977,13M,"10,000,000+",Free,0,Everyone,Personalization,"May 22, 2018",3.6,4.1 and up
"FUN Keyboard – Emoji Keyboard, Sticker,Theme & GIF",PERSONALIZATION,4.7,12089,27M,"500,000+",Free,0,Everyone,Personalization,"July 3, 2018",1.2.5,4.0 and up
EC Tax,FINANCE,4.9,8,3.1M,500+,Free,0,Everyone,Finance,"February 9, 2018",1.2,4.0.3 and up
MobilePatrol Public Safety App,SOCIAL,4.0,22695,Varies with device,"1,000,000+",Free,0,Everyone 10+,Social,"June 21, 2018",Varies with device,Varies with device
How To Color Disney Princess - Coloring Pages,ART_AND_DESIGN,4.0,591,9.4M,"500,000+",Free,0,Everyone,Art & Design,"March 31, 2018",1,4.0 and up
[EF]ShoutBox,COMMUNICATION,,3,2.5M,100+,Free,0,Teen,Communication,"August 7, 2018",Build 54,4.0.3 and up
Professor Online SEDUC-CE,FAMILY,4.1,188,4.6M,"10,000+",Free,0,Everyone,Education,"July 6, 2018",1.3,4.1 and up
SDV Cam,TOOLS,3.2,67,65M,"10,000+",Free,0,Everyone,Tools,"June 2, 2017",1.0.8,4.0.3 and up
Find Real Love — YouLove Premium Dating,DATING,4.5,212626,11M,"10,000,000+",Free,0,Mature 17+,Dating,"July 31, 2018",4.17.2,4.1 and up
The PCH App,LIFESTYLE,4.5,234971,81M,"1,000,000+",Free,0,Everyone,Lifestyle,"July 25, 2018",2.8.7.78579,4.4 and up
X-Plane 10 Flight Simulator,FAMILY,4.2,63197,11M,"1,000,000+",Free,0,Everyone,Simulation,"June 27, 2018",Varies with device,Varies with device
Color by Number - Draw Sandbox Pixel Art,FAMILY,4.6,10247,15M,"1,000,000+",Free,0,Everyone,Entertainment,"July 27, 2018",1.3.13,4.1 and up
Flow Free,GAME,4.3,1295625,11M,"100,000,000+",Free,0,Everyone,Puzzle,"April 11, 2018",4.0,4.1 and up
Quizlet: Learn Languages & Vocab with Flashcards,EDUCATION,4.6,211856,Varies with device,"10,000,000+",Free,0,Everyone,Education,"August 1, 2018",Varies with device,Varies with device
Holl & Co Barbers,LIFESTYLE,4.7,12,6.0M,500+,Free,0,Everyone,Lifestyle,"February 26, 2018",4.9.940,4.0 and up
Guns'n'Glory Zombies Premium,FAMILY,4.1,313,34M,"5,000+",Paid,$2.99,Everyone 10+,Strategy,"July 15, 2016",1.1.5,2.3.3 and up
Aunjai i lert u,HEALTH_AND_FITNESS,4.2,1140,5.5M,"500,000+",Free,0,Teen,Health & Fitness,"January 10, 2017",1.5,3.0 and up
df-Vegetable,BUSINESS,,0,2.9M,5+,Free,0,Everyone,Business,"June 11, 2018",1.1,4.0.3 and up
FANDOM for: DC,FAMILY,4.4,6715,9.5M,"500,000+",Free,0,Mature 17+,Entertainment,"July 20, 2018",2.9.8.1,4.4 and up
BTS V LINE Launcher theme,PERSONALIZATION,4.8,3283,3.6M,"100,000+",Free,0,Everyone,Personalization,"October 17, 2014",4.1,4.0.3 and up
CJ'S TIRE AND AUTO INC.,PRODUCTIVITY,5.0,5,11M,100+,Free,0,Everyone,Productivity,"May 30, 2018",1.0.1,4.1 and up
CM FILE MANAGER Pro,BUSINESS,4.2,2359,2.7M,"10,000+",Paid,$2.99,Everyone,Business,"February 16, 2016",1.16.9,1.6 and up
Q-See Plus,VIDEO_PLAYERS,2.2,32,33M,"5,000+",Free,0,Everyone,Video Players & Editors,"July 9, 2018",3.1.0,4.0.3 and up
Ek Maratha,SOCIAL,4.8,725,3.7M,"10,000+",Free,0,Teen,Social,"October 12, 2016",7.5.3,2.2 and up
My CU - Caucasus University,PRODUCTIVITY,4.6,48,7.3M,"1,000+",Free,0,Everyone,Productivity,"November 22, 2017",1.2.3,4.1 and up
Freedom CU,FINANCE,3.6,117,25M,"10,000+",Free,0,Everyone,Finance,"June 22, 2018",6.5.82-prod,4.2 and up
Bluetooth Auto Connect,COMMUNICATION,3.9,20829,1.9M,"5,000,000+",Free,0,Everyone,Communication,"November 17, 2017",4.5.4,3.0 and up
